시퀀스,종목코드,종목명,분류체계,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,표준코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
211,337140,KODEX 코스피대형주,주식-규모-대형주,5.05,코스피 대형주,0.82,13489467233.0,0.19,높음,KR7337140008,삼성 KODEX 코스피대형주증권상장지수투자신탁[주식],KODEX 코스피대형주,SAMSUNG KODEX KOSPI LargeCap ETF,2019/11/14,코스피 대형주,KRX,일반,실물(패시브),국내,주식,1000000,삼성자산운용,100000,0.15,비과세
216,359210,KODEX 코스피TR,주식-시장대표,6.97,코스피 TR,0.27,47198563063.0,-0.19,높음,KR7359210002,삼성 KODEX 코스피TotalReturn증권상장지수투자신탁[주식],KODEX 코스피TR,SAMSUNG KODEX KOSPI TotalReturn ETF,2020/07/21,코스피 TR,KRX,일반,실물(패시브),국내,주식,3300000,삼성자산운용,100000,0.07,배당소득세(보유기간과세)
118,237350,KODEX 코스피100,주식-시장대표,2.19,코스피 100,0.84,60841229707.0,-0.23,높음,KR7237350004,삼성 KODEX 200대형증권상장지수투자신탁(주식),KODEX 코스피100,SAMSUNG KODEX 200 Large ETF,2016/01/27,코스피 100,KRX,일반,실물(패시브),국내,주식,2150000,삼성자산운용,50000,0.15,비과세
102,226490,KODEX 코스피,주식-시장대표,4.74,코스피,0.75,457586185739.0,-0.22,높음,KR7226490001,삼성 KODEX 코스피 증권상장지수투자신탁(신탁),KODEX 코스피,Samsung KODEX KOSPI ETF,2015/08/24,코스피,KRX,일반,실물(패시브),국내,주식,15250000,삼성자산운용,50000,0.15,비과세
335,461450,KODEX 코스닥글로벌,주식-시장대표,-2.23,코스닥 글로벌 지수,0.25,11435244019.0,-0.44,매우높음,KR7461450009,삼성 KODEX 코스닥글로벌증권상장지수투자신탁[주식],KODEX 코스닥글로벌,SAMSUNG KODEX KOSDAQ Global ETF,2023/06/29,코스닥 글로벌 지수,KRX,일반,실물(패시브),국내,주식,1000000,삼성자산운용,100000,0.09,비과세
135,251340,KODEX 코스닥150선물인버스,주식-시장대표,6.76,F-코스닥150 지수,0.57,254465742889.0,-0.66,매우높음,KR7251340006,삼성 KODEX 코스닥150인버스증권상장지수투자신탁(주식-파생형),KODEX 코스닥150선물인버스,SAMSUNG KODEX KOSDAQ150 INVERSE ETF,2016/08/10,F-코스닥150 지수,KRX,1X 인버스,실물(패시브),국내,주식,64900000,삼성자산운용,100000,0.64,배당소득세(보유기간과세)
218,360150,KODEX 코스닥150롱코스피200숏선물,주식-전략-전략테마,-13.03,코스닥150 롱 100% 코스피200 숏 100% 선물지수,1.52,6865785718.0,0.32,보통,KR7360150007,삼성 KODEX 코스닥150롱코스피200숏선물증권상장지수투자신탁[주식-파생형],KODEX 코스닥150롱코스피200숏선물,SAMSUNG KODEX KOSDAQ150LONGKOSPI200SHORT Futures ETF,2020/08/21,코스닥150 롱 100% 코스피200 숏 100% 선물지수,KRX,일반,실물(패시브),국내,주식,800000,삼성자산운용,100000,0.64,배당소득세(보유기간과세)
116,233740,KODEX 코스닥150레버리지,주식-시장대표,-30.82,코스닥 150,6.73,1920652963729.0,-0.41,매우높음,KR7233740000,삼성 KODEX 코스닥150 레버리지증권상장지수투자신탁(주식-파생형),KODEX 코스닥150레버리지,SAMSUNG KODEX KOSDAQ150 LEVERAGE ETF,2015/12/17,코스닥 150,KRX,2X 레버리지,실물(패시브),국내,주식,253800000,삼성자산운용,100000,0.64,배당소득세(보유기간과세)
112,229200,KODEX 코스닥150,주식-시장대표,-11.39,코스닥 150,0.21,1254888315890.0,-0.35,매우높음,KR7229200001,삼성 KODEX 코스닥 150 증권상장지수투자신탁(주식),KODEX 코스닥150,SAMSUNG KODEX KOSDAQ 150 ETF,2015/10/01,코스닥 150,KRX,일반,실물(패시브),국내,주식,102850000,삼성자산운용,50000,0.25,비과세
237,373490,KODEX 코리아혁신성장액티브,주식-전략-전략테마,-13.55,FnGuide K-이노베이션 지수,6.03,5825373985.0,-0.35,높음,KR7373490002,삼성 KODEX 코리아혁신성장액티브증권상장지수투자신탁[주식],KODEX 코리아혁신성장액티브,SAMSUNG KODEX Korea Innovative Growth Active ETF,2020/12/24,FnGuide K-이노베이션 지수,FnGuide,일반,실물(액티브),국내,주식,500000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
407,495850,KODEX 코리아밸류업,주식-시장대표,0.0,코리아 밸류업 지수,1.13,188557317238.0,0.16,높음,KR7495850000,삼성 KODEX 코리아밸류업증권상장지수투자신탁[주식],KODEX 코리아밸류업,SAMSUNG KODEX KOREA Value-up ETF,2024/11/04,코리아 밸류업 지수,KRX,일반,실물(패시브),국내,주식,16050000,삼성자산운용,50000,0.008,비과세
301,445150,KODEX 친환경조선해운액티브,주식-업종섹터-업종테마,104.7,FnGuide K-친환경 선박 지수,10.08,47982374285.0,0.07,매우높음,KR7445150006,삼성 KODEX 친환경조선해운액티브증권상장지수투자신탁[주식],KODEX 친환경조선해운액티브,SAMSUNG KODEX Eco Ship Active ETF,2022/11/15,FnGuide K-친환경 선박 지수,FnGuide,일반,실물(액티브),국내,주식,1950000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
170,279540,KODEX 최소변동성,주식-전략-변동성,1.41,KRX 최소변동성지수,0.88,6695305460.0,-0.3,보통,KR7279540009,삼성 KODEX 최소변동성증권상장지수투자신탁[주식],KODEX 최소변동성,Samsung KODEX Min Vol ETF,2017/10/17,KRX 최소변동성지수,KRX,일반,실물(패시브),국내,주식,600000,삼성자산운용,100000,0.3,비과세
44,117680,KODEX 철강,주식-업종섹터-철강소재,10.05,KRX 철강,1.69,15312010602.0,-0.37,매우높음,KR7117680009,삼성KODEX철강증권상장지수투자신탁[주식],KODEX 철강,SAMSUNG KODEX STEELS ETF[EQUITY],2009/10/30,KRX 철강,KRX,일반,실물(패시브),국내,주식,1610000,삼성자산운용,70000,0.45,비과세
20,0048K0,KODEX 차이나휴머노이드로봇,주식-업종섹터-업종테마,0.0,Solactive China Humanoid Robotics Index (CNH) (Price Return),1.95,50972411654.0,1.55,높음,KR70048K0004,삼성 KODEX 차이나휴머노이드로봇증권상장지수투자신탁[주식-파생형],KODEX 차이나휴머노이드로봇,SAMSUNG KODEX China Humanoid Robot ETF,2025/05/13,Solactive China Humanoid Robotics Index (CNH) (Price Return),Solactive,일반,실물(패시브),해외,주식,5950000,삼성자산운용,50000,0.45,배당소득세(보유기간과세)
236,372330,KODEX 차이나항셍테크,주식-업종섹터-업종테마,35.97,Hang Seng TECH Index,0.48,178715070395.0,1.48,매우높음,KR7372330001,삼성 KODEX 차이나항셍테크증권상장지수투자신탁[주식],KODEX 차이나항셍테크,SAMSUNG KODEX China Hang Seng TECH ETF,2020/12/16,Hang Seng TECH Index,HangSeng,일반,실물(패시브),해외,주식,23000000,삼성자산운용,50000,0.12,배당소득세(보유기간과세)
142,256750,KODEX 차이나심천ChiNext(합성),주식-시장대표,6.72,SZSE ChiNext Price Index,0.8,26337911777.0,-0.72,매우높음,KR7256750001,삼성 KODEX 차이나심천ChiNext증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나심천ChiNext(합성),SAMSUNG KODEX ChiNext ETF(Synth),2016/11/08,SZSE ChiNext Price Index,SSI(Shenzhen Securities Information Co Ltd),일반,합성(패시브),해외,주식,3051000,삼성자산운용,1000,0.47,배당소득세(보유기간과세)
277,415340,KODEX 차이나과창판STAR50(합성),주식-시장대표,33.85,STAR 50 Index(Price Return),1.35,15727707694.0,-0.44,매우높음,KR7415340009,삼성 KODEX 차이나과창판STAR50증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나과창판STAR50(합성),SAMSUNG KODEX China STAR 50 ETF(SYNTH),2022/01/13,STAR 50 Index(Price Return),CSI,일반,합성(패시브),해외,주식,2010000,삼성자산운용,10000,0.09,배당소득세(보유기간과세)
85,204450,KODEX 차이나H레버리지(H),주식-시장대표,52.2,Hang Seng China H,3.14,56611300249.0,1.21,매우높음,KR7204450001,삼성 KODEX 차이나H레버리지증권상장지수투자신탁(주식-파생형)(H),KODEX 차이나H레버리지(H),Samsung KODEX China H Leverage ETF,2014/09/12,Hang Seng China H,HangSeng,2X 레버리지,실물(패시브),해외,주식,20900000,삼성자산운용,100000,0.64,배당소득세(보유기간과세)
33,099140,KODEX 차이나H,주식-시장대표,31.06,Hang Seng China H,1.11,45191968136.0,0.49,매우높음,KR7099140006,삼성 KODEX 차이나H증권상장지수투자신탁[주식],KODEX 차이나H,SAMSUNG KODEX China H ETF,2007/10/10,Hang Seng China H,HangSeng,일반,실물(패시브),해외,주식,2100000,삼성자산운용,50000,0.12,배당소득세(해외주식투자전용ETF)
173,283580,KODEX 차이나CSI300,주식-시장대표,7.41,CSI 300 Index,2.93,137806350488.0,-0.07,매우높음,KR7283580009,삼성 KODEX 차이나CSI300증권상장지수투자신탁[주식-파생형],KODEX 차이나CSI300,Samsung KODEX China CSI300 ETF,2017/12/13,CSI 300 Index,CSI,일반,실물(패시브),해외,주식,11600000,삼성자산운용,50000,0.12,배당소득세(해외주식투자전용ETF)
285,428510,KODEX 차이나AI테크액티브,주식-업종섹터-업종테마,8.68,Bloomberg Greater China Media & Tech Index(Price Return),12.21,15204466313.0,1.13,매우높음,KR7428510002,삼성 KODEX 차이나AI테크액티브증권상장지수투자신탁[주식],KODEX 차이나AI테크액티브,SAMSUNG KODEX China AI Tech Active ETF,2022/05/17,Bloomberg Greater China Media & Tech Index(Price Return),Bloomberg,일반,실물(액티브),해외,주식,1350000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
76,169950,KODEX 차이나A50,주식-시장대표,11.95,FTSE China A50 Index,2.84,23001103855.0,0.36,높음,KR7169950003,삼성 KODEX 차이나FTSE China A50증권상장지수투자신탁[주식-파생형],KODEX 차이나A50,SAMSUNG KODEX FTSE China A50 ETF,2013/01/21,FTSE China A50 Index,FTSE,일반,실물(패시브),해외,주식,1100000,삼성자산운용,100000,0.12,배당소득세(해외주식투자전용ETF)
283,419430,KODEX 차이나2차전지MSCI(합성),주식-업종섹터-업종테마,16.13,MSCI China all shares IMI Select Batteries Index(Price Return),1.9,23106165204.0,-0.78,매우높음,KR7419430004,삼성 KODEX 차이나2차전지MSCI증권상장지수투자신탁[주식-파생형](합성),KODEX 차이나2차전지MSCI(합성),SAMSUNG KODEX MSCI China All Shares Batteries ETF(SYNTH),2022/03/22,MSCI China all shares IMI Select Batteries Index(Price Return),MSCI,일반,합성(패시브),해외,주식,3500000,삼성자산운용,100000,0.25,배당소득세(보유기간과세)
38,102970,KODEX 증권,주식-업종섹터-금융,69.9,KRX 증권,2.24,114473619891.0,0.29,매우높음,KR7102970001,삼성 KODEX 증권주 증권상장지수투자신탁[주식],KODEX 증권,SAMSUNG KODEX Securities ETF,2008/05/29,KRX 증권,KRX,일반,실물(패시브),국내,주식,10600000,삼성자산운용,50000,0.45,비과세
247,385520,KODEX 자율주행액티브,주식-전략-전략테마,-24.16,FnGuide K-미래차 지수,7.03,15470034240.0,0.13,매우높음,KR7385520002,삼성 KODEX 자율주행액티브증권상장지수투자신탁[주식],KODEX 자율주행액티브,SAMSUNG KODEX Autonomous Driving Active ETF,2021/05/25,FnGuide K-미래차 지수,FnGuide,일반,실물(액티브),국내,주식,2150000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
29,091180,KODEX 자동차,주식-업종섹터-경기소비재,-17.14,KRX 자동차,1.81,450422439685.0,0.02,매우높음,KR7091180000,삼성 KODEX 자동차 증권상장지수투자신탁[주식],KODEX 자동차,SAMSUNG KODEX AUTOs ETF,2006/06/27,KRX 자동차,KRX,일반,실물(패시브),국내,주식,25850000,삼성자산운용,50000,0.45,비과세
34,101280,KODEX 일본TOPIX100,주식-시장대표,6.65,TOPIX100,1.46,40399921960.0,-0.64,높음,KR7101280006,삼성 KODEX Japan 증권상장지수투자신탁[주식],KODEX 일본TOPIX100,SAMSUNG KODEX Japan ETF,2008/02/20,TOPIX100,TSE(Tokyo Stock Exchange),일반,실물(패시브),해외,주식,1720000,삼성자산운용,20000,0.19,배당소득세(해외주식투자전용ETF)
42,114800,KODEX 인버스,주식-시장대표,-4.76,코스피 200 선물지수,0.17,583101689925.0,-0.19,높음,KR7114800006,삼성KODEX인버스증권상장지수투자신탁[주식-파생형],KODEX 인버스,SAMSUNG KODEX INVERSE ETF,2009/09/16,코스피 200 선물지수,KRX,1X 인버스,실물(패시브),국내,주식,152600000,삼성자산운용,100000,0.64,배당소득세(보유기간과세)
370,477730,KODEX 인도타타그룹,주식-전략-기업그룹,-9.6,Nifty India Corporate Group Index - Tata Group 25% Cap(PR),1.77,38698162308.0,-0.55,보통,KR7477730006,삼성 KODEX 인도타타그룹증권상장지수투자신탁[주식-파생형],KODEX 인도타타그룹,SAMSUNG KODEX India Tata Group ETF,2024/05/08,Nifty India Corporate Group Index - Tata Group 25% Cap(PR),NSE(NSE Indices Limited),일반,실물(패시브),해외,주식,4300000,삼성자산운용,50000,0.45,배당소득세(보유기간과세)
2,0000H0,KODEX 인도Nifty미드캡100,주식-규모-중형주,0.0,Nifty Midcap 100 Index(PR),0.09,21395415305.0,-0.07,매우높음,KR70000H0005,삼성 KODEX 인도Nifty미드캡100증권상장지수투자신탁[주식-파생형],KODEX 인도Nifty미드캡100,SAMSUNG KODEX India Nifty Midcap 100 ETF,2025/04/08,Nifty Midcap 100 Index(PR),NSE(NSE Indices Limited),일반,실물(패시브),해외,주식,2000000,삼성자산운용,50000,0.45,배당소득세(보유기간과세)
324,453820,KODEX 인도Nifty50레버리지(합성),주식-시장대표,6.19,Nifty 50 Index,3.14,24045554205.0,0.65,매우높음,KR7453820003,삼성 KODEX 인도Nifty50레버리지증권상장지수투자신탁[주식-파생형](합성),KODEX 인도Nifty50레버리지(합성),SAMSUNG KODEX India Nifty50 Leverage ETF(SYNTH),2023/04/21,Nifty 50 Index,NSE(NSE Indices Limited),2X 레버리지,합성(패시브),해외,주식,1500000,삼성자산운용,50000,0.39,배당소득세(보유기간과세)
323,453810,KODEX 인도Nifty50,주식-시장대표,4.97,Nifty 50 Index,0.26,433462421867.0,0.2,보통,KR7453810004,삼성 KODEX 인도Nifty50증권상장지수투자신탁[주식-파생형],KODEX 인도Nifty50,SAMSUNG KODEX India Nifty50 ETF,2023/04/21,Nifty 50 Index,NSE(NSE Indices Limited),일반,실물(패시브),해외,주식,32400000,삼성자산운용,50000,0.19,배당소득세(보유기간과세)
28,091170,KODEX 은행,주식-업종섹터-금융,30.56,KRX 은행,2.55,317818516034.0,0.22,매우높음,KR7091170001,삼성 KODEX 은행 증권상장지수투자신탁[주식],KODEX 은행,SAMSUNG KODEX BANKs ETF,2006/06/27,KRX 은행,KRX,일반,실물(패시브),국내,주식,30950000,삼성자산운용,50000,0.3,비과세
327,456250,KODEX 유럽명품TOP10 STOXX,주식-업종섹터-업종테마,0.31,STOXX Europe Luxury 10 Index(Price Return),1.19,12608448193.0,-0.4,높음,KR7456250000,삼성 KODEX 유럽명품TOP10 STOXX증권상장지수투자신탁[주식],KODEX 유럽명품TOP10 STOXX,SAMSUNG KODEX Europe Luxury TOP10 STOXX ETF,2023/04/25,STOXX Europe Luxury 10 Index(Price Return),STOXX,일반,실물(패시브),해외,주식,1300000,삼성자산운용,50000,0.45,배당소득세(보유기간과세)
257,395150,KODEX 웹툰&드라마,주식-업종섹터-업종테마,-12.87,FnGuide 웹툰&드라마 지수,0.83,17887055142.0,-0.07,매우높음,KR7395150006,삼성 KODEX 웹툰&드라마증권상장지수투자신탁[주식],KODEX 웹툰&드라마,SAMSUNG KODEX Fn Webtoon and Drama ETF,2021/07/30,FnGuide 웹툰&드라마 지수,FnGuide,일반,실물(패시브),국내,주식,5500000,삼성자산운용,100000,0.45,비과세
64,140710,KODEX 운송,주식-업종섹터-산업재,22.77,KRX 운송,0.99,11862451058.0,-0.02,매우높음,KR7140710005,삼성KODEX운송증권상장지수투자신탁[주식],KODEX 운송,SAMSUNG KODEX TRANSPORTATION ETF[EQUITY],2011/04/26,KRX 운송,KRX,일반,실물(패시브),국내,주식,1900000,삼성자산운용,100000,0.45,비과세
43,117460,KODEX 에너지화학,주식-업종섹터-에너지화학,-29.76,KRX 에너지화학,0.56,22964745392.0,-0.17,매우높음,KR7117460006,삼성KODEX에너지화학증권상장지수투자신탁[주식],KODEX 에너지화학,SAMSUNG KODEX ENERGY&CHEMICALS ETF[EQUITY],2009/10/12,KRX 에너지화학,KRX,일반,실물(패시브),국내,주식,2240000,삼성자산운용,70000,0.45,비과세
304,446690,KODEX 아시아AI반도체exChina액티브,주식-업종섹터-업종테마,-17.22,iSelect 아시아반도체 제조동맹 지수(시장가격),9.19,8016068199.0,-0.14,매우높음,KR7446690000,삼성 KODEX 아시아AI반도체exChina액티브증권상장지수투자신탁[주식],KODEX 아시아AI반도체exChina액티브,SAMSUNG KODEX ASIA AI SEMICON exChina Active ETF,2023/02/01,iSelect 아시아반도체 제조동맹 지수(시장가격),NH투자증권,일반,실물(액티브),해외,주식,500000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
246,385510,KODEX 신재생에너지액티브,주식-전략-전략테마,9.69,FnGuide K-신재생에너지 플러스 지수,12.21,112594698184.0,0.19,매우높음,KR7385510003,삼성 KODEX 신재생에너지액티브증권상장지수투자신탁[주식],KODEX 신재생에너지액티브,SAMSUNG KODEX Renewable Energy Active ETF,2021/05/25,FnGuide K-신재생에너지 플러스 지수,FnGuide,일반,실물(액티브),국내,주식,5700000,삼성자산운용,50000,0.5,배당소득세(보유기간과세)
201,325010,KODEX 성장주,주식-전략-성장,1.42,FnGuide 성장 지수(PR),0.38,92396917980.0,-0.32,매우높음,KR7325010007,삼성 KODEX 성장주증권상장지수투자신탁[주식형],KODEX 성장주,SAMSUNG KODEX Fn Growth ETF,2019/05/31,FnGuide 성장 지수(PR),FnGuide,일반,실물(패시브),국내,주식,6000000,삼성자산운용,100000,0.3,비과세
136,251350,KODEX 선진국MSCI World,주식-시장대표,11.12,MSCI World,1.79,354747333196.0,0.28,보통,KR7251350005,삼성 KODEX 선진국MSCI World 증권상장지수투자신탁[주식],KODEX 선진국MSCI World,Samsung KODEX MSCI World ETF,2016/08/17,MSCI World,MSCI,일반,실물(패시브),해외,주식,11850000,삼성자산운용,50000,0.3,배당소득세(해외주식투자전용ETF)
310,448330,KODEX 삼성전자채권혼합,혼합자산-주식+채권,-3.9,Wise 삼성전자채권혼합 지수,0.42,91112526683.0,-0.11,낮음,KR7448330001,삼성 KODEX 삼성전자채권혼합증권상장지수투자신탁[채권혼합],KODEX 삼성전자채권혼합,SAMSUNG KODEX Wise Samsung Electronics Balanced ETF,2022/11/29,Wise 삼성전자채권혼합 지수,FnGuide,일반,실물(패시브),국내,혼합자산,8400000,삼성자산운용,100000,0.07,배당소득세(보유기간과세)
91,213610,KODEX 삼성그룹밸류,주식-전략-기업그룹,-0.28,WISE 삼성그룹 밸류 인덱스,0.43,109777199001.0,-0.25,높음,KR7213610009,삼성KODEX삼성그룹밸류증권상장지수투자신탁[주식],KODEX 삼성그룹밸류,SAMSUNG KODEX SAMSUNG Group Value ETF,2015/01/08,WISE 삼성그룹 밸류 인덱스,WiseFn,일반,실물(패시브),국내,주식,12500000,삼성자산운용,100000,0.09,비과세
36,102780,KODEX 삼성그룹,주식-전략-기업그룹,-0.65,삼성그룹,0.61,1243755298108.0,-0.24,높음,KR7102780004,삼성 KODEX 삼성그룹주 증권상장지수투자신탁[주식],KODEX 삼성그룹,SAMSUNG KODEX Samsung Group ETF,2008/05/21,삼성그룹,FnGuide,일반,실물(패시브),국내,주식,135400000,삼성자산운용,100000,0.25,비과세
63,140700,KODEX 보험,주식-업종섹터-금융,12.05,KRX 보험,2.04,27692260414.0,-0.48,매우높음,KR7140700006,삼성KODEX보험증권상장지수투자신탁[주식],KODEX 보험,SAMSUNG KODEX INSURANCE ETF[EQUITY],2011/04/26,KRX 보험,KRX,일반,실물(패시브),국내,주식,2500000,삼성자산운용,100000,0.45,비과세
128,244670,KODEX 밸류Plus,주식-전략-가치,12.69,FnGuide 벨류 Plus 지수,1.68,4802740620.0,-0.16,높음,KR7244670006,삼성 KODEX 밸류PLUS증권상장지수투자신탁[주식],KODEX 밸류Plus,Samsung KODEX Value PLUS ETF,2016/05/13,FnGuide 벨류 Plus 지수,FnGuide,일반,실물(패시브),국내,주식,500000,삼성자산운용,100000,0.3,비과세
119,237370,KODEX 배당성장채권혼합,혼합자산-주식+채권,9.71,배당성장채권혼합지수,0.73,33710803887.0,0.56,매우낮음,KR7237370002,삼성 KODEX 배당성장채권혼합 증권상장지수투자신탁(채권혼합),KODEX 배당성장채권혼합,SAMSUNG KODEX GROWTH DIVIDEND BALANCED ETF,2016/01/27,배당성장채권혼합지수,KRX,일반,실물(패시브),국내,혼합자산,2400000,삼성자산운용,200000,0.19,배당소득세(보유기간과세)
90,211900,KODEX 배당성장,주식-전략-배당,17.72,코스피 배당성장 50,1.42,23419050308.0,-0.08,보통,KR7211900006,삼성 KODEX 배당성장 증권상장지수투자신탁(주식),KODEX 배당성장,Samsung KODEX Dividend Growth ETF,2014/12/17,코스피 배당성장 50,KRX,일반,실물(패시브),국내,주식,1300000,삼성자산운용,50000,0.15,비과세
202,325020,KODEX 배당가치,주식-전략-배당,5.59,FnGuide SLV 배당가치 지수,1.5,100801274569.0,-0.23,보통,KR7325020006,삼성 KODEX 배당가치증권상장지수투자신탁[주식형],KODEX 배당가치,SAMSUNG KODEX Dividend Value ETF,2019/05/31,FnGuide SLV 배당가치 지수,FnGuide,일반,실물(패시브),국내,주식,6600000,삼성자산운용,100000,0.3,비과세
400,494310,KODEX 반도체레버리지,주식-업종섹터-정보기술,0.0,KRX 반도체,3.37,84292847630.0,-1.26,매우높음,KR7494310006,삼성 KODEX 반도체레버리지증권상장지수투자신탁[주식-파생형],KODEX 반도체레버리지,SAMSUNG KODEX Semiconductor Leverage ETF,2024/10/22,KRX 반도체,KRX,2X 레버리지,실물(패시브),국내,주식,8950000,삼성자산운용,50000,0.49,배당소득세(보유기간과세)
27,091160,KODEX 반도체,주식-업종섹터-정보기술,-20.5,KRX 반도체,0.78,657466162942.0,-0.16,매우높음,KR7091160002,삼성 KODEX 반도체 증권상장지수투자신탁[주식],KODEX 반도체,SAMSUNG KODEX SEMICON ETF,2006/06/27,KRX 반도체,KRX,일반,실물(패시브),국내,주식,19550000,삼성자산운용,50000,0.45,비과세
