시퀀스,종목코드,종목명,분류체계,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,표준코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
306,447430,ACE 주주환원가치주액티브,주식-전략-가치,24.64,FnGuide 올라운드 가치주 지수,11.12,52363826184.0,-0.07,보통,KR7447430000,한국투자 ACE 주주환원가치주액티브증권상장지수투자신탁(주식),ACE 주주환원가치주액티브,KIM ACE Next level Value Active ETF,2022/11/15,FnGuide 올라운드 가치주 지수,FnGuide,일반,실물(액티브),국내,주식,3800000,한국투자신탁운용,50000,0.7,배당소득세(보유기간과세)
8,0021C0,ACE 장기자산배분액티브,혼합자산-주식+채권,0.0,Bloomberg Multi Asset Target-date 2080 KRW Index,30.83,10057160904.0,-0.07,매우높음,KR70021C0005,한국투자 ACE 장기자산배분액티브증권상장지수투자신탁(혼합-재간접형),ACE 장기자산배분액티브,KIM ACE Long Term Asset Allocation Active ETF,2025/03/11,Bloomberg Multi Asset Target-date 2080 KRW Index,Bloomberg,일반,실물(액티브),국내&해외,혼합자산,1000000,한국투자신탁운용,50000,0.4,배당소득세(보유기간과세)
354,469160,ACE 일본반도체,주식-업종섹터-업종테마,-12.75,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),0.89,14098601661.0,0.92,매우높음,KR7469160006,한국투자 ACE 일본반도체증권상장지수투자신탁(주식),ACE 일본반도체,KIM ACE Japan Semiconductor ETF,2023/10/17,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),Bloomberg,일반,실물(패시브),해외,주식,1300000,한국투자신탁운용,100000,0.45,배당소득세(보유기간과세)
87,205720,ACE 일본TOPIX인버스(합성 H),주식-시장대표,-10.38,TOPIX,1.55,5575105512.0,0.3,매우높음,KR7205720006,한국투자 ACE 일본인버스 증권 상장지수투자신탁(주식-파생형)(합성 H),ACE 일본TOPIX인버스(합성 H),KIM ACE SYNTH-Japan Inverse ETF(H),2014/09/29,TOPIX,TSE(Tokyo Stock Exchange),1X 인버스,합성(패시브),해외,주식,2400000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
82,196030,ACE 일본TOPIX레버리지(H),주식-시장대표,-5.51,TOPIX,8.57,21385229103.0,-1.91,매우높음,KR7196030001,한국투자 ACE 일본 레버리지 증권 상장지수투자신탁(주식-재간접파생형)(H),ACE 일본TOPIX레버리지(H),KIM ACE Japan Leverage ETF(H),2014/06/16,TOPIX,TSE(Tokyo Stock Exchange),2X 레버리지,실물(패시브),해외,주식,500000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
121,238720,ACE 일본Nikkei225(H),주식-시장대표,-0.61,Nikkei 225,1.44,21607497358.0,-0.37,매우높음,KR7238720007,한국투자 ACE 일본Nikkei225증권상장지수투자신탁(주식-파생형)(H),ACE 일본Nikkei225(H),KIM ACE Japan Nikkei225 ETF(H),2016/03/03,Nikkei 225,Nikkei,일반,실물(패시브),해외,주식,800000,한국투자신탁운용,100000,0.3,배당소득세(해외주식투자전용ETF)
411,497520,ACE 일라이릴리밸류체인,주식-업종섹터-업종테마,0.0,Solactive Eli Lilly Value Chain Index(PR),3.26,7786284431.0,0.07,높음,KR7497520007,한국투자 ACE 일라이릴리밸류체인증권상장지수투자신탁(주식),ACE 일라이릴리밸류체인,KIM ACE Eli Lilly Value Chain ETF,2024/11/19,Solactive Eli Lilly Value Chain Index(PR),Solactive,일반,실물(패시브),해외,주식,800000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
67,145670,ACE 인버스,주식-시장대표,-4.3,코스피 200 선물지수,0.29,2503811912.0,-0.05,높음,KR7145670006,한국투자 ACE 인버스 증권 상장지수투자신탁(주식-파생형),ACE 인버스,KIM ACE INVERSE ETF,2011/09/08,코스피 200 선물지수,KRX,1X 인버스,실물(패시브),국내,주식,500000,한국투자신탁운용,100000,0.15,배당소득세(보유기간과세)
388,487910,ACE 인도컨슈머파워액티브,주식-업종섹터-업종테마,0.0,Indxx India Super Consumption Index (Price Return),7.75,49610944374.0,-0.05,높음,KR7487910002,한국투자 ACE 인도컨슈머파워액티브증권상장지수투자신탁(주식),ACE 인도컨슈머파워액티브,KIM ACE India Consumption Active ETF,2024/09/10,Indxx India Super Consumption Index (Price Return),Indxx,일반,실물(액티브),해외,주식,5600000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
389,487920,ACE 인도시장대표BIG5그룹액티브,주식-전략-기업그룹,0.0,Indxx India Big 5 Conglomerates Index (Price Return),4.84,10572478511.0,-0.09,높음,KR7487920001,한국투자 ACE 인도시장대표BIG5그룹액티브증권상장지수투자신탁(주식),ACE 인도시장대표BIG5그룹액티브,KIM ACE India Market Leaders Group Active ETF,2024/09/10,Indxx India Big 5 Conglomerates Index (Price Return),Indxx,일반,실물(액티브),해외,주식,1250000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
141,256440,ACE 인도네시아MSCI(합성),주식-시장대표,-9.79,MSCI Indonesia Index,0.16,29908441307.0,0.23,높음,KR7256440009,한국투자 ACE 인도네시아MSCI증권상장지수투자신탁(주식-파생형)(합성),ACE 인도네시아MSCI(합성),KIM ACE MSCI Indonesia ETF(Synth),2016/11/01,MSCI Indonesia Index,MSCI,일반,합성(패시브),해외,주식,3500000,한국투자신탁운용,100000,0.7,배당소득세(보유기간과세)
289,433500,ACE 원자력테마딥서치,주식-업종섹터-업종테마,61.41,DeepSearch 원자력테마 지수 (시장가격지수),2.28,35170913055.0,-0.22,매우높음,KR7433500006,한국투자 ACE 원자력테마딥서치증권상장지수투자신탁(주식),ACE 원자력테마딥서치,KIM ACE Nuclear Power Theme ETF,2022/06/28,DeepSearch 원자력테마 지수 (시장가격지수),DeepSearch,일반,실물(패시브),국내,주식,1300000,한국투자신탁운용,100000,0.3,비과세
311,448540,ACE 엔비디아채권혼합블룸버그,혼합자산-주식+채권,10.61,Bloomberg Blended NVIDIA Equity and Korean Bond Index,6.84,171517419266.0,0.21,높음,KR7448540005,한국투자 ACE 엔비디아채권혼합블룸버그증권상장지수투자신탁(채권혼합),ACE 엔비디아채권혼합블룸버그,KIM ACE NVIDIA30 Blend Bloomberg ETF,2022/11/29,Bloomberg Blended NVIDIA Equity and Korean Bond Index,Bloomberg,일반,실물(패시브),국내&해외,혼합자산,7600000,한국투자신탁운용,100000,0.07,배당소득세(보유기간과세)
380,483320,ACE 엔비디아밸류체인액티브,주식-업종섹터-업종테마,0.0,KEDI 글로벌AI반도체 지수,14.7,241789374369.0,-1.82,매우높음,KR7483320008,한국투자 ACE 엔비디아밸류체인액티브증권상장지수투자신탁(주식),ACE 엔비디아밸류체인액티브,KIM ACE Nvidia Value Chain Active ETF,2024/06/11,KEDI 글로벌AI반도체 지수,한국경제신문,일반,실물(액티브),해외,주식,27700000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
383,483420,ACE 애플밸류체인액티브,주식-업종섹터-업종테마,0.0,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,21.24,11297664037.0,-0.14,매우높음,KR7483420006,한국투자 ACE 애플밸류체인액티브증권상장지수투자신탁(주식),ACE 애플밸류체인액티브,KIM ACE Apple Value Chain Active ETF,2024/06/11,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,Bloomberg,일반,실물(액티브),국내&해외,주식,1150000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
163,277540,ACE 아시아TOP50S&P,주식-시장대표,18.92,S&P ASIA50 Price Return Index,3.51,15732195912.0,-0.2,매우높음,KR7277540001,한국투자 ACE S&P아시아TOP50증권상장지수투자신탁(주식),ACE 아시아TOP50S&P,KIM ACE S&P ASIA TOP50 ETF,2017/08/23,S&P ASIA50 Price Return Index,S&P,일반,실물(패시브),국내&해외,주식,900000,한국투자신탁운용,50000,0.7,배당소득세(보유기간과세)
41,108450,ACE 삼성그룹섹터가중,주식-전략-기업그룹,-0.36,MKF SAMs SW,0.35,45258336175.0,-0.27,높음,KR7108450008,한국투자 ACE 삼성그룹주SW 증권 상장지수투자신탁(주식),ACE 삼성그룹섹터가중,KIM ACE SAMSUNG GROUP SW ETF,2009/02/03,MKF SAMs SW,FnGuide,일반,실물(패시브),국내,주식,3000000,한국투자신탁운용,100000,0.15,비과세
50,131890,ACE 삼성그룹동일가중,주식-전략-기업그룹,9.89,MKF SAMs EW 지수,0.61,9690613007.0,-0.29,높음,KR7131890006,한국투자 ACE 삼성그룹주 동일가중 증권 상장지수투자신탁(주식),ACE 삼성그룹동일가중,KIM ACE Samsung Group Equal Weighted ETF,2010/09/17,MKF SAMs EW 지수,FnGuide,일반,실물(패시브),국내,주식,500000,한국투자신탁운용,100000,0.15,비과세
132,245710,ACE 베트남VN30(합성),주식-시장대표,5.99,VN30 Index(PR),0.19,229456202506.0,-0.4,보통,KR7245710009,한국투자 ACE 베트남VN30증권상장지수투자신탁(주식-파생형)(합성),ACE 베트남VN30(합성),KIM ACE Vietnam VN30 ETF(Synth),2016/07/01,VN30 Index(PR),HOSE(Hochiminh Stock Exchange),일반,합성(패시브),해외,주식,10800000,한국투자신탁운용,100000,0.7,배당소득세(보유기간과세)
254,391600,ACE 미국친환경그린테마INDXX,주식-전략-전략테마,-8.62,Indxx US Green Infrastructure Price return Index,0.67,11769938851.0,-0.44,매우높음,KR7391600004,한국투자 ACE 미국친환경그린테마INDXX증권상장지수투자신탁(주식),ACE 미국친환경그린테마INDXX,KIM ACE US Green Theme INDXX ETF,2021/08/05,Indxx US Green Infrastructure Price return Index,Indxx,일반,실물(패시브),해외,주식,1400000,한국투자신탁운용,50000,0.7,배당소득세(보유기간과세)
5,0008E0,ACE 미국중심중소형제조업,주식-업종섹터-업종테마,0.0,NYSE FactSet US Focus Manufacturing Index(Price Return),0.4,3907721402.0,0.13,매우높음,KR70008E0000,한국투자 ACE 미국중심중소형제조업증권상장지수투자신탁(주식),ACE 미국중심중소형제조업,KIM ACE US Focus Manufacturing Mid-Small Cap ETF,2025/01/21,NYSE FactSet US Focus Manufacturing Index(Price Return),"ICE Data Indices, LLC",일반,실물(패시브),해외,주식,450000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
364,473590,ACE 미국주식베스트셀러,주식-전략-전략테마,42.9,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),0.71,93556876147.0,-0.56,매우높음,KR7473590008,한국투자 ACE 미국주식베스트셀러증권상장지수투자신탁(주식),ACE 미국주식베스트셀러,KIM ACE US Equity Best Seller ETF,2023/12/27,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),FnGuide,일반,실물(패시브),해외,주식,5250000,한국투자신탁운용,50000,0.3,배당소득세(보유기간과세)
348,465620,ACE 미국빅테크TOP7 Plus인버스(합성),주식-업종섹터-업종테마,-24.18,Solactive US Big Tech Top 7 Plus Price Return Index,1.4,2532939898.0,0.72,매우높음,KR7465620003,한국투자 ACE 미국빅테크TOP7 Plus인버스증권상장지수투자신탁(주식-파생형)(합성),ACE 미국빅테크TOP7 Plus인버스(합성),KIM ACE US Big Tech TOP 7 Plus Inverse ETF(Synth),2023/09/12,Solactive US Big Tech Top 7 Plus Price Return Index,Solactive,1X 인버스,합성(패시브),해외,주식,250000,한국투자신탁운용,50000,0.6,배당소득세(보유기간과세)
347,465610,ACE 미국빅테크TOP7 Plus레버리지(합성),주식-업종섹터-업종테마,23.81,Solactive US Big Tech Top 7 Plus Price Return Index,0.75,96354891248.0,-0.11,매우높음,KR7465610004,한국투자 ACE 미국빅테크TOP7 Plus레버리지증권상장지수투자신탁(주식-파생형)(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),KIM ACE US Big Tech TOP 7 Plus Leverage ETF(Synth),2023/09/12,Solactive US Big Tech Top 7 Plus Price Return Index,Solactive,2X 레버리지,합성(패시브),해외,주식,4100000,한국투자신탁운용,100000,0.6,배당소득세(보유기간과세)
346,465580,ACE 미국빅테크TOP7 Plus,주식-업종섹터-업종테마,18.88,Solactive US Big Tech Top 7 Plus Price Return Index,0.18,683141525625.0,-0.19,매우높음,KR7465580009,한국투자 ACE 미국빅테크TOP7 Plus증권상장지수투자신탁(주식),ACE 미국빅테크TOP7 Plus,KIM ACE US Big Tech TOP 7 Plus ETF,2023/09/12,Solactive US Big Tech Top 7 Plus Price Return Index,Solactive,일반,실물(패시브),해외,주식,40400000,한국투자신탁운용,50000,0.3,배당소득세(보유기간과세)
372,480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),주식-전략-구조화,-8.53,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,0.7,173132526000.0,0.19,매우높음,KR7480020007,한국투자 ACE 미국빅테크7+데일리타겟커버드콜증권상장지수투자신탁(주식-파생형)합성,ACE 미국빅테크7+데일리타겟커버드콜(합성),KIM ACE US BigTechTOP7plus Daily Target Covered Call ETF(Synth),2024/04/23,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,Bloomberg,일반,합성(패시브),해외,주식,17200000,한국투자신탁운용,100000,0.45,배당소득세(보유기간과세)
21,0049K0,ACE 미국배당퀄리티채권혼합50,혼합자산-주식+채권,0.0,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,14.57,15142935982.0,-0.1,낮음,KR70049K0003,한국투자 ACE 미국배당퀄리티채권혼합50증권상장지수투자신탁(채권혼합),ACE 미국배당퀄리티채권혼합50,KIM ACE US Dividend Quality 5050 Blended ETF,2025/05/13,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,Bloomberg,일반,실물(패시브),국내&해외,혼합자산,1500000,한국투자신탁운용,50000,0.15,배당소득세(보유기간과세)
22,0049M0,ACE 미국배당퀄리티+커버드콜액티브,주식-전략-구조화,0.0,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,5.97,15986655358.0,-0.12,보통,KR70049M0001,한국투자 ACE 미국배당퀄리티+커버드콜액티브증권상장지수투자신탁(주식-재간접형),ACE 미국배당퀄리티+커버드콜액티브,KIM ACE US Dividend Quality Plus Covered Call Active ETF,2025/05/13,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,Bloomberg,일반,실물(액티브),해외,주식,1600000,한국투자신탁운용,50000,0.15,배당소득세(보유기간과세)
18,0046Y0,ACE 미국배당퀄리티,주식-전략-배당,0.0,WisdomTree U.S. Quality Dividend Growth Index (Price Return),0.27,32717487569.0,-0.07,높음,KR70046Y0000,한국투자 ACE 미국배당퀄리티증권상장지수투자신탁(주식),ACE 미국배당퀄리티,KIM ACE US Dividend Quality ETF,2025/05/13,WisdomTree U.S. Quality Dividend Growth Index (Price Return),Wisdom Tree,일반,실물(패시브),해외,주식,3250000,한국투자신탁운용,50000,0.15,배당소득세(보유기간과세)
265,402970,ACE 미국배당다우존스,주식-전략-배당,-0.3,Dow Jones U.S. Dividend 100 Price Return Index,0.43,626839279484.0,0.15,보통,KR7402970008,한국투자 ACE 미국배당다우존스증권상장지수투자신탁(주식),ACE 미국배당다우존스,KIM ACE S&P US Dividend 100 ETF,2021/10/21,Dow Jones U.S. Dividend 100 Price Return Index,S&P,일반,실물(패시브),해외,주식,54400000,한국투자신탁운용,100000,0.01,배당소득세(보유기간과세)
374,480040,ACE 미국반도체데일리타겟커버드콜(합성),주식-전략-구조화,-22.34,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,0.72,80597709559.0,-0.41,매우높음,KR7480040005,한국투자 ACE 미국반도체데일리타겟커버드콜증권상장지수투자신탁(주식-파생형)(합성),ACE 미국반도체데일리타겟커버드콜(합성),KIM ACE US Semiconductor Daily Target Covered Call ETF(Synth),2024/04/23,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,Bloomberg,일반,합성(패시브),해외,주식,9200000,한국투자신탁운용,100000,0.45,배당소득세(보유기간과세)
296,438100,ACE 미국나스닥100채권혼합액티브,혼합자산-주식+채권,7.9,NASDAQ-100 US T-Bills 30/70 Index,5.35,218872611003.0,0.07,낮음,KR7438100000,한국투자 ACE 미국나스닥100채권혼합액티브증권상장지수투자신탁(채권혼합),ACE 미국나스닥100채권혼합액티브,KIM ACE NASDAQ100 3070 Blend ETF,2022/08/26,NASDAQ-100 US T-Bills 30/70 Index,NASDAQ,일반,실물(액티브),해외,혼합자산,16700000,한국투자신탁운용,100000,0.15,배당소득세(보유기간과세)
229,367380,ACE 미국나스닥100,주식-시장대표,14.53,NASDAQ 100,0.11,1524924607186.0,-0.07,매우높음,KR7367380003,한국투자 ACE 미국나스닥100증권상장지수투자신탁(주식),ACE 미국나스닥100,KIM ACE US NASDAQ100 ETF,2020/10/29,NASDAQ 100,NASDAQ,일반,실물(패시브),해외,주식,67800000,한국투자신탁운용,100000,0.07,배당소득세(보유기간과세)
194,309230,ACE 미국WideMoat동일가중,주식-전략-가치,2.48,MorningStar Wide Moat Focus Index,0.54,139686977078.0,-0.03,높음,KR7309230001,한국투자 ACE 미국WideMoat동일가중증권상장지수투자신탁(주식),ACE 미국WideMoat동일가중,KIM ACE US Wide Moat ETF,2018/10/25,MorningStar Wide Moat Focus Index,MorningStar,일반,실물(패시브),해외,주식,5580000,한국투자신탁운용,20000,0.4,배당소득세(보유기간과세)
295,438080,ACE 미국S&P500채권혼합액티브,혼합자산-주식+채권,6.88,S&P500 and Short-Term Treasury 30/70 Blend Index,3.94,370138051884.0,0.0,매우낮음,KR7438080004,한국투자 ACE 미국S&P500채권혼합액티브증권상장지수투자신탁(채권혼합),ACE 미국S&P500채권혼합액티브,KIM ACE S&P500 3070 Blend ETF,2022/08/26,S&P500 and Short-Term Treasury 30/70 Blend Index,S&P,일반,실물(액티브),해외,혼합자산,29600000,한국투자신탁운용,100000,0.15,배당소득세(보유기간과세)
219,360200,ACE 미국S&P500,주식-시장대표,11.07,S&P 500,0.13,2049459661989.0,-0.04,높음,KR7360200000,한국투자 ACE 미국S&P500증권상장지수투자신탁(주식),ACE 미국S&P500,KIM ACE S&P500 ETF,2020/08/07,S&P 500,S&P,일반,실물(패시브),해외,주식,100800000,한국투자신탁운용,100000,0.07,배당소득세(보유기간과세)
171,280320,ACE 미국IT인터넷S&P(합성 H),주식-업종섹터-정보기술,28.4,다우존스 인터넷 종합지수,0.84,16137422119.0,-0.7,매우높음,KR7280320003,한국투자 ACE 미국IT인터넷증권상장지수투자신탁(주식-파생형)(합성 H),ACE 미국IT인터넷S&P(합성 H),KIM ACE US INTERNET ETF(Synth H),2017/10/17,다우존스 인터넷 종합지수,S&P,일반,합성(패시브),해외,주식,800000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
373,480030,ACE 미국500데일리타겟커버드콜(합성),주식-전략-구조화,-7.48,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,0.69,150979012534.0,0.31,보통,KR7480030006,한국투자 ACE 미국500데일리타겟커버드콜증권상장지수투자신탁(주식-파생형)(합성),ACE 미국500데일리타겟커버드콜(합성),KIM ACE US500 Daily Target Covered Call ETF(Synth),2024/04/23,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,Bloomberg,일반,합성(패시브),해외,주식,15800000,한국투자신탁운용,100000,0.45,배당소득세(보유기간과세)
179,291130,ACE 멕시코MSCI(합성),주식-시장대표,-2.29,MSCI MEXICO IMI 25/50 Price return Index,1.82,12803101730.0,-0.99,매우높음,KR7291130003,한국투자 ACE 멕시코MSCI증권상장지수투자신탁(주식-파생형)(합성),ACE 멕시코MSCI(합성),KIM ACE MSCI MEXICO ETF(Synth),2018/03/09,MSCI MEXICO IMI 25/50 Price return Index,MSCI,일반,합성(패시브),해외,주식,900000,한국투자신탁운용,100000,0.5,배당소득세(보유기간과세)
381,483330,ACE 마이크로소프트밸류체인액티브,주식-업종섹터-업종테마,0.0,KEDI 글로벌생성형AI 지수,10.76,21318869673.0,0.26,매우높음,KR7483330007,한국투자 ACE 마이크로소프트밸류체인액티브증권상장지수투자신탁(주식),ACE 마이크로소프트밸류체인액티브,KIM ACE Microsoft Value Chain Active ETF,2024/06/11,KEDI 글로벌생성형AI 지수,한국경제신문,일반,실물(액티브),해외,주식,1800000,한국투자신탁운용,50000,0.45,배당소득세(보유기간과세)
70,152500,ACE 레버리지,주식-시장대표,0.71,코스피 200,4.25,10936851901.0,-0.09,매우높음,KR7152500005,한국투자 ACE 레버리지 증권상장지수투자신탁(주식-파생형),ACE 레버리지,KIM ACE LEVERAGE ETF,2012/01/27,코스피 200,KRX,2X 레버리지,실물(패시브),국내,주식,1400000,한국투자신탁운용,100000,0.3,배당소득세(보유기간과세)
147,265690,ACE 러시아MSCI(합성),주식-시장대표,-10.21,MSCI Russia 25% Capped Price Return Index,1.39,90020858.0,17440.07,매우낮음,KR7265690008,한국투자 ACE 러시아MSCI증권상장지수투자신탁(주식-파생형)(합성),ACE 러시아MSCI(합성),KIM ACE MSCI Russia ETF(Synth),2017/03/21,MSCI Russia 25% Capped Price Return Index,MSCI,일반,합성(패시브),해외,주식,1850000,한국투자신탁운용,50000,0.0,배당소득세(보유기간과세)
401,494330,ACE 라이프자산주주가치액티브,주식-전략-전략테마,0.0,FnGuide 기업가치 지수(시장가격),9.27,34640913585.0,0.21,보통,KR7494330004,한국투자 ACE 라이프자산주주가치액티브증권상장지수투자신탁(주식),ACE 라이프자산주주가치액티브,KIM ACE Life Asset Shareholder Value Active ETF,2024/10/15,FnGuide 기업가치 지수(시장가격),FnGuide,일반,실물(액티브),국내,주식,2900000,한국투자신탁운용,50000,0.5,배당소득세(보유기간과세)
275,414270,ACE 글로벌자율주행액티브,주식-전략-전략테마,28.3,FactSet US-China Electric&Autonomous Vehicle Price Return Index,18.7,42738945570.0,-0.31,매우높음,KR7414270009,한국투자 ACE 글로벌자율주행액티브증권상장지수투자신탁(주식),ACE 글로벌자율주행액티브,KIM ACE Global Autonomous Vehicle Active ETF,2022/02/15,FactSet US-China Electric&Autonomous Vehicle Price Return Index,FACTSET,일반,실물(액티브),해외,주식,3900000,한국투자신탁운용,50000,0.29,배당소득세(보유기간과세)
334,460960,ACE 글로벌인컴TOP10 SOLACTIVE,혼합자산-주식+채권,-2.19,Solactive Global Superior Income TOP 10 Price Return Index,1.15,60388587225.0,-0.12,낮음,KR7460960008,한국투자 ACE 글로벌인컴TOP10 SOLACTIVE증권상장지수투자신탁[혼합-재간접형],ACE 글로벌인컴TOP10 SOLACTIVE,KIM ACE Solactive Global Income TOP10 ETF,2023/07/11,Solactive Global Superior Income TOP 10 Price Return Index,Solactive,일반,실물(패시브),해외,혼합자산,5750000,한국투자신탁운용,50000,0.24,배당소득세(보유기간과세)
410,497510,ACE 글로벌빅파마,주식-업종섹터-업종테마,0.0,Solactive Global Big Pharma Index (Price Return),0.93,7721562076.0,-0.12,높음,KR7497510008,한국투자 ACE 글로벌빅파마증권상장지수투자신탁(주식),ACE 글로벌빅파마,KIM ACE Global Big Pharma ETF,2024/11/19,Solactive Global Big Pharma Index (Price Return),Solactive,일반,실물(패시브),해외,주식,800000,한국투자신탁운용,50000,0.3,배당소득세(보유기간과세)
